subject,experiment,task_type,trial_number,target_pair_type,target_pair_condition,target_triad_index,response_correct,response_time
3,1a,speeded_recognition,15,foil,intermixed,N/A,correct,1415
3,1a,speeded_recognition,16,AB,blocked,2,correct,1160
3,1a,speeded_recognition,17,AC,intermixed,5,incorrect,1190
3,1a,speeded_recognition,18,AB,blocked,1,incorrect,1148
3,1a,speeded_recognition,19,foil,blocked,N/A,correct,1174
3,1a,speeded_recognition,20,BC,intermixed,4,correct,824
3,1a,speeded_recognition,21,BC,blocked,2,correct,814
3,1a,speeded_recognition,22,AC,intermixed,6,correct,1230
3,1a,speeded_recognition,23,foil,blocked,N/A,correct,1132
3,1a,speeded_recognition,24,foil,blocked,N/A,incorrect,873
3,1a,speeded_recognition,25,AC,blocked,2,correct,1311
3,1a,speeded_recognition,26,AB,intermixed,6,correct,1047
3,1a,speeded_recognition,27,foil,blocked,N/A,correct,974
3,1a,speeded_recognition,28,BC,intermixed,5,correct,917
3,1a,speeded_recognition,29,AC,blocked,3,correct,1044
3,1a,speeded_recognition,30,AC,intermixed,4,incorrect,1118
3,1a,speeded_recognition,31,AB,blocked,2,correct,763
3,1a,speeded_recognition,32,foil,blocked,N/A,correct,1492
3,1a,speeded_recognition,33,AB,intermixed,5,correct,751
3,1a,speeded_recognition,34,AC,blocked,1,incorrect,1375
3,1a,speeded_recognition,35,BC,intermixed,6,correct,717
3,1a,speeded_recognition,36,AB,blocked,1,correct,887
3,1a,speeded_recognition,37,BC,intermixed,6,correct,608
3,1a,speeded_recognition,38,AB,blocked,3,correct,742
3,1a,speeded_recognition,39,BC,intermixed,5,correct,791
3,1a,speeded_recognition,40,AC,blocked,3,correct,1120
3,1a,speeded_recognition,41,AB,intermixed,6,correct,712
3,1a,speeded_recognition,42,BC,blocked,3,correct,1031
3,1a,speeded_recognition,43,AC,intermixed,6,correct,1206
3,1a,speeded_recognition,44,foil,blocked,N/A,correct,1287
3,1a,speeded_recognition,45,BC,blocked,2,correct,764
3,1a,speeded_recognition,46,BC,intermixed,4,correct,657
3,1a,speeded_recognition,47,AC,blocked,1,incorrect,849
3,1a,speeded_recognition,48,AC,intermixed,4,incorrect,909
3,1a,explicit_inference,1,AC,blocked,3,correct,6862
3,1a,explicit_inference,2,AC,intermixed,4,correct,2865
3,1a,explicit_inference,3,AC,blocked,2,incorrect,2153
3,1a,explicit_inference,4,AC,blocked,1,correct,1372
3,1a,explicit_inference,5,AC,intermixed,5,correct,1287
3,1a,explicit_inference,6,AC,intermixed,6,correct,1777
3,1a,explicit_inference,7,AC,blocked,1,correct,1482
3,1a,explicit_inference,8,AC,intermixed,5,correct,1155
3,1a,explicit_inference,9,AC,blocked,3,correct,2098
3,1a,explicit_inference,10,AC,intermixed,6,correct,1309
3,1a,explicit_inference,11,AC,intermixed,4,correct,1276
3,1a,explicit_inference,12,AC,blocked,2,correct,1122
4,1a,speeded_recognition,1,AC,blocked,2,correct,871
4,1a,speeded_recognition,2,AB,intermixed,5,correct,1054
4,1a,speeded_recognition,3,AB,blocked,1,correct,1365
4,1a,speeded_recognition,4,BC,intermixed,4,correct,1232
4,1a,speeded_recognition,5,foil,blocked,N/A,correct,1755
4,1a,speeded_recognition,6,AC,intermixed,5,correct,1430
4,1a,speeded_recognition,7,BC,blocked,1,correct,1511
4,1a,speeded_recognition,8,AC,intermixed,4,correct,2136
4,1a,speeded_recognition,9,foil,intermixed,N/A,correct,1294
4,1a,speeded_recognition,10,BC,blocked,2,correct,1048
4,1a,speeded_recognition,11,foil,blocked,N/A,incorrect,1126
4,1a,speeded_recognition,12,AB,intermixed,6,correct,1024
4,1a,speeded_recognition,13,BC,blocked,3,correct,1118
4,1a,speeded_recognition,14,AB,intermixed,4,correct,856
4,1a,speeded_recognition,15,AC,blocked,1,correct,1197
4,1a,speeded_recognition,16,AB,intermixed,6,correct,1039
4,1a,speeded_recognition,17,BC,blocked,2,correct,815
4,1a,speeded_recognition,18,foil,intermixed,N/A,correct,1478
4,1a,speeded_recognition,19,AC,blocked,3,correct,1184
4,1a,speeded_recognition,20,foil,intermixed,N/A,correct,1224
4,1a,speeded_recognition,21,BC,intermixed,6,correct,959
4,1a,speeded_recognition,22,AB,blocked,3,incorrect,1071
4,1a,speeded_recognition,23,AC,intermixed,4,correct,1279
4,1a,speeded_recognition,24,foil,intermixed,N/A,correct,1198
4,1a,speeded_recognition,25,foil,intermixed,N/A,correct,1055
4,1a,speeded_recognition,26,AC,blocked,1,correct,2408
4,1a,speeded_recognition,27,AC,intermixed,6,correct,981
4,1a,speeded_recognition,28,BC,blocked,3,correct,1248
4,1a,speeded_recognition,29,BC,intermixed,6,correct,1070
4,1a,speeded_recognition,30,AB,blocked,1,correct,2583
4,1a,speeded_recognition,31,foil,blocked,N/A,correct,1230
4,1a,speeded_recognition,32,AB,intermixed,4,correct,823
4,1a,speeded_recognition,33,foil,blocked,N/A,correct,1208
4,1a,speeded_recognition,34,BC,intermixed,5,correct,1374
4,1a,speeded_recognition,35,AB,blocked,3,correct,725
4,1a,speeded_recognition,36,AC,intermixed,5,correct,999
4,1a,speeded_recognition,37,foil,blocked,N/A,correct,1220
4,1a,speeded_recognition,38,AB,blocked,2,correct,775
4,1a,speeded_recognition,39,AC,intermixed,6,correct,1140
4,1a,speeded_recognition,40,AC,blocked,2,incorrect,1760
4,1a,speeded_recognition,41,BC,intermixed,4,correct,1300
4,1a,speeded_recognition,42,AB,blocked,2,correct,1255
4,1a,speeded_recognition,43,AB,intermixed,5,correct,1182
4,1a,speeded_recognition,44,BC,blocked,1,correct,1319
4,1a,speeded_recognition,45,foil,blocked,N/A,correct,1167
4,1a,speeded_recognition,46,BC,intermixed,5,correct,1629
4,1a,speeded_recognition,47,foil,intermixed,N/A,correct,1399
4,1a,speeded_recognition,48,AC,blocked,3,correct,1200
4,1a,explicit_inference,1,AC,blocked,1,incorrect,7117
4,1a,explicit_inference,2,AC,intermixed,5,correct,2870
4,1a,explicit_inference,3,AC,intermixed,6,incorrect,3119
4,1a,explicit_inference,4,AC,intermixed,4,correct,3774
4,1a,explicit_inference,5,AC,blocked,3,correct,3037
4,1a,explicit_inference,6,AC,blocked,2,correct,2001
4,1a,explicit_inference,7,AC,intermixed,6,incorrect,2621
4,1a,explicit_inference,8,AC,blocked,3,correct,4158
4,1a,explicit_inference,9,AC,intermixed,4,correct,2694
4,1a,explicit_inference,10,AC,blocked,2,correct,1978
4,1a,explicit_inference,11,AC,intermixed,5,correct,2825
4,1a,explicit_inference,12,AC,blocked,1,correct,2088
5,1a,speeded_recognition,1,BC,intermixed,6,correct,1855
5,1a,speeded_recognition,2,BC,blocked,2,correct,1240
5,1a,speeded_recognition,3,AC,intermixed,5,correct,1721
5,1a,speeded_recognition,4,foil,blocked,N/A,correct,1041
5,1a,speeded_recognition,5,AC,intermixed,6,correct,1444
5,1a,speeded_recognition,6,AB,blocked,1,correct,1122
5,1a,speeded_recognition,7,foil,blocked,N/A,correct,1857
5,1a,speeded_recognition,8,AC,intermixed,6,correct,1443
5,1a,speeded_recognition,9,AC,blocked,2,correct,1326
5,1a,speeded_recognition,10,AB,intermixed,5,correct,1311
5,1a,speeded_recognition,11,AC,blocked,2,correct,2311
5,1a,speeded_recognition,12,AC,intermixed,4,correct,2683
5,1a,speeded_recognition,13,foil,blocked,N/A,correct,2638
5,1a,speeded_recognition,14,AB,blocked,3,correct,2032
5,1a,speeded_recognition,15,AC,intermixed,4,correct,2855
5,1a,speeded_recognition,16,AB,blocked,1,correct,1979
5,1a,speeded_recognition,17,foil,blocked,N/A,correct,1826
5,1a,speeded_recognition,18,BC,intermixed,6,correct,2350
5,1a,speeded_recognition,19,AC,blocked,1,incorrect,2574
5,1a,speeded_recognition,20,AB,intermixed,5,correct,1794
5,1a,speeded_recognition,21,BC,blocked,2,correct,1800
5,1a,speeded_recognition,22,foil,intermixed,N/A,incorrect,1767
5,1a,speeded_recognition,23,AC,blocked,3,correct,2542
5,1a,speeded_recognition,24,foil,intermixed,N/A,correct,1171
5,1a,speeded_recognition,25,BC,intermixed,4,correct,2145
5,1a,speeded_recognition,26,BC,blocked,3,correct,1828
5,1a,speeded_recognition,27,AB,intermixed,4,correct,2240
